ypos 	 xpos 	 value 
573 	 76 	 0.83493 
574 	 76 	 0.83504 
575 	 76 	 0.83544 
576 	 76 	 0.83613 
577 	 76 	 0.83706 
578 	 76 	 0.83817 
579 	 76 	 0.83941 
580 	 76 	 0.84075 
581 	 76 	 0.84212 
582 	 76 	 0.8435 
583 	 76 	 0.84482 
584 	 76 	 0.84605 
585 	 76 	 0.84714 
586 	 76 	 0.84816 
587 	 76 	 0.84914 
588 	 76 	 0.85015 
589 	 76 	 0.85124 
590 	 76 	 0.85245 
591 	 76 	 0.85385 
592 	 76 	 0.85549 
593 	 76 	 0.85742 
594 	 76 	 0.8597 
595 	 76 	 0.86232 
596 	 76 	 0.86525 
597 	 76 	 0.86848 
598 	 76 	 0.87196 
599 	 76 	 0.87565 
600 	 76 	 0.87954 
601 	 76 	 0.88359 
602 	 76 	 0.88776 
603 	 76 	 0.89202 
604 	 76 	 0.89634 
605 	 76 	 0.90066 
606 	 76 	 0.90491 
607 	 76 	 0.90903 
608 	 76 	 0.91295 
609 	 76 	 0.91661 
610 	 76 	 0.91994 
611 	 76 	 0.92289 
612 	 76 	 0.92538 
613 	 76 	 0.92736 
614 	 76 	 0.92885 
615 	 76 	 0.92999 
616 	 76 	 0.93091 
617 	 76 	 0.93176 
618 	 76 	 0.93267 
619 	 76 	 0.93378 
620 	 76 	 0.93522 
621 	 76 	 0.93714 
622 	 76 	 0.93966 
623 	 76 	 0.94291 
624 	 76 	 0.94679 
625 	 76 	 0.95113 
626 	 76 	 0.95573 
627 	 76 	 0.96038 
628 	 76 	 0.9649 
629 	 76 	 0.96911 
630 	 76 	 0.97279 
631 	 76 	 0.97578 
632 	 76 	 0.97787 
633 	 76 	 0.97894 
634 	 76 	 0.97913 
635 	 76 	 0.97864 
636 	 76 	 0.97768 
637 	 76 	 0.97644 
638 	 76 	 0.97512 
639 	 76 	 0.97392 
640 	 76 	 0.97304 
641 	 76 	 0.97267 
642 	 76 	 0.973 
643 	 76 	 0.97414 
644 	 76 	 0.97596 
645 	 76 	 0.97831 
646 	 76 	 0.98104 
647 	 76 	 0.98401 
648 	 76 	 0.98708 
649 	 76 	 0.9901 
650 	 76 	 0.99292 
651 	 76 	 0.99541 
652 	 76 	 0.99742 
653 	 76 	 0.9989 
654 	 76 	 0.99989 
655 	 76 	 1.00044 
656 	 76 	 1.00061 
657 	 76 	 1.00044 
658 	 76 	 1.0 
659 	 76 	 0.99933 
660 	 76 	 0.99848 
661 	 76 	 0.9975 
662 	 76 	 0.99645 
663 	 76 	 0.99536 
664 	 76 	 0.99425 
665 	 76 	 0.99313 
666 	 76 	 0.99202 
667 	 76 	 0.99095 
668 	 76 	 0.98992 
669 	 76 	 0.98895 
670 	 76 	 0.98807 
671 	 76 	 0.98729 
672 	 76 	 0.98663 
673 	 76 	 0.98606 
674 	 76 	 0.98553 
675 	 76 	 0.98501 
676 	 76 	 0.98443 
677 	 76 	 0.98375 
678 	 76 	 0.98292 
679 	 76 	 0.98188 
680 	 76 	 0.9806 
681 	 76 	 0.97901 
682 	 76 	 0.97708 
683 	 76 	 0.97481 
684 	 76 	 0.97228 
685 	 76 	 0.96953 
686 	 76 	 0.96665 
687 	 76 	 0.96368 
688 	 76 	 0.9607 
689 	 76 	 0.95777 
690 	 76 	 0.95495 
691 	 76 	 0.95231 
692 	 76 	 0.9499 
693 	 76 	 0.94774 
694 	 76 	 0.94578 
695 	 76 	 0.94399 
696 	 76 	 0.94231 
697 	 76 	 0.94071 
698 	 76 	 0.93914 
699 	 76 	 0.93756 
700 	 76 	 0.93593 
701 	 76 	 0.93419 
702 	 76 	 0.93232 
703 	 76 	 0.9303 
704 	 76 	 0.92817 
705 	 76 	 0.92598 
706 	 76 	 0.92375 
707 	 76 	 0.92154 
708 	 76 	 0.91938 
709 	 76 	 0.91731 
710 	 76 	 0.91537 
711 	 76 	 0.91361 
712 	 76 	 0.91206 
713 	 76 	 0.91073 
714 	 76 	 0.90958 
715 	 76 	 0.90855 
716 	 76 	 0.90761 
717 	 76 	 0.90669 
718 	 76 	 0.90575 
719 	 76 	 0.90475 
720 	 76 	 0.90363 
721 	 76 	 0.90234 
722 	 76 	 0.90084 
723 	 76 	 0.8991 
724 	 76 	 0.89718 
725 	 76 	 0.89511 
726 	 76 	 0.89298 
727 	 76 	 0.89083 
728 	 76 	 0.88872 
729 	 76 	 0.88671 
730 	 76 	 0.88486 
731 	 76 	 0.88323 
732 	 76 	 0.88187 
733 	 76 	 0.88084 
734 	 76 	 0.8801 
735 	 76 	 0.8796 
736 	 76 	 0.87928 
737 	 76 	 0.87907 
738 	 76 	 0.87893 
739 	 76 	 0.8788 
740 	 76 	 0.87862 
741 	 76 	 0.87832 
742 	 76 	 0.87787 
743 	 76 	 0.87719 
744 	 76 	 0.8763 
745 	 76 	 0.87527 
746 	 76 	 0.87417 
747 	 76 	 0.87307 
748 	 76 	 0.87204 
749 	 76 	 0.87115 
750 	 76 	 0.87048 
751 	 76 	 0.87008 
752 	 76 	 0.87004 
753 	 76 	 0.87043 
754 	 76 	 0.87126 
755 	 76 	 0.87249 
756 	 76 	 0.87406 
757 	 76 	 0.87591 
758 	 76 	 0.87799 
